,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
"Total Electrical Installation & Equip - Other",,,,,,,,,"","",0.00,
"Total Electrical Installation & Equip",,,,,,,,,0.00,4727.38,23797.59,
"Furniture, Fixtures & Fittings",,,,,,,,,,,537029.02,
"Board room chair 19",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 19 - Other",,,,,,,,,,,0.00,
"Total Board room chair 19 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 19",,,,,,,,,"","",4852.17,
"Board room chair 18",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 18 - Other",,,,,,,,,,,0.00,
"Total Board room chair 18 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 18",,,,,,,,,"","",4852.17,
"Board room chair 17",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 17 - Other",,,,,,,,,,,0.00,
"Total Board room chair 17 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 17",,,,,,,,,"","",4852.17,
"Board room chair 16",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 16 - Other",,,,,,,,,,,0.00,
"Total Board room chair 16 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 16",,,,,,,,,"","",4852.17,
"Board room chair 15",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 15 - Other",,,,,,,,,,,0.00,
"Total Board room chair 15 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 15",,,,,,,,,"","",4852.17,
"Board room chair 14",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 14 - Other",,,,,,,,,,,0.00,
"Total Board room chair 14 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 14",,,,,,,,,"","",4852.17,
"Board room chair 13",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 13 - Other",,,,,,,,,,,0.00,
"Total Board room chair 13 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 13",,,,,,,,,"","",4852.17,
"Board room chair 12",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 12 - Other",,,,,,,,,,,0.00,
"Total Board room chair 12 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 12",,,,,,,,,"","",4852.17,
"Board room chair 11",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 11 - Other",,,,,,,,,,,0.00,
"Total Board room chair 11 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 11",,,,,,,,,"","",4852.17,
"Board room chair 10",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 10 - Other",,,,,,,,,,,0.00,
"Total Board room chair 10 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 10",,,,,,,,,"","",4852.17,
"Board room chair 9",,,,,,,,,,,4852.17,
"Accumulated Depreciation",,,,,,,,,,,-1829.65,
"Total Accumulated Depreciation",,,,,,,,,"","",-1829.65,
"Cost",,,,,,,,,,,6681.82,
"Total Cost",,,,,,,,,"","",6681.82,
"Board room chair 9 - Other",,,,,,,,,,,0.00,
"Total Board room chair 9 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 9",,,,,,,,,"","",4852.17,
"Trophy Shelf 1",,,,,,,,,,,5619.00,
"Accumulated Depreciation",,,,,,,,,,,-2381.00,
,"General Journal","01-01-2025","26445",,"Trophy Shelf 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",95.24,-2476.24,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,95.24,-2476.24,
"Cost",,,,,,,,,,,8000.00,
"Total Cost",,,,,,,,,"","",8000.00,
"Trophy Shelf 1 - Other",,,,,,,,,,,0.00,
"Total Trophy Shelf 1 - Other",,,,,,,,,"","",0.00,
"Total Trophy Shelf 1",,,,,,,,,0.00,95.24,5523.76,
"Microwave 2",,,,,,,,,,,4565.38,
"Accumulated Depreciation",,,,,,,,,,,-4270.83,
,"General Journal","15-01-2025","26643",,"Microwave 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",147.27,-4418.10,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,147.27,-4418.10,
"Cost",,,,,,,,,,,8836.21,
"Total Cost",,,,,,,,,"","",8836.21,
"Microwave 2 - Other",,,,,,,,,,,0.00,
"Total Microwave 2 - Other",,,,,,,,,"","",0.00,
"Total Microwave 2",,,,,,,,,0.00,147.27,4418.11,
"Floor Chair 20",,,,,,,,,,,910.64,
"Accumulated Depreciation",,,,,,,,,,,-789.36,
,"General Journal","20-01-2025","26694",,"Floor Chair 20 depreciation","Accumulated Depreciation",,"Depreciation Expense","",20.24,-809.60,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,20.24,-809.60,
"Cost",,,,,,,,,,,1700.00,
"Total Cost",,,,,,,,,"","",1700.00,
"Floor Chair 20 - Other",,,,,,,,,,,0.00,
"Total Floor Chair 20 - Other",,,,,,,,,"","",0.00,
"Total Floor Chair 20",,,,,,,,,0.00,20.24,890.40,
"Floor Chair 19",,,,,,,,,,,910.64,
"Accumulated Depreciation",,,,,,,,,,,-789.36,
,"General Journal","20-01-2025","26693",,"Floor Chair 19 depreciation","Accumulated Depreciation",,"Depreciation Expense","",20.24,-809.60,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,20.24,-809.60,
"Cost",,,,,,,,,,,1700.00,
"Total Cost",,,,,,,,,"","",1700.00,
"Floor Chair 19 - Other",,,,,,,,,,,0.00,
"Total Floor Chair 19 - Other",,,,,,,,,"","",0.00,
"Total Floor Chair 19",,,,,,,,,0.00,20.24,890.40,
"Floor Chair 18",,,,,,,,,,,910.64,
"Accumulated Depreciation",,,,,,,,,,,-789.36,
,"General Journal","20-01-2025","26692",,"Floor Chair 18 depreciation","Accumulated Depreciation",,"Depreciation Expense","",20.24,-809.60,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,20.24,-809.60,
"Cost",,,,,,,,,,,1700.00,
"Total Cost",,,,,,,,,"","",1700.00,
"Floor Chair 18 - Other",,,,,,,,,,,0.00,
"Total Floor Chair 18 - Other",,,,,,,,,"","",0.00,
"Total Floor Chair 18",,,,,,,,,0.00,20.24,890.40,
"Floor Chair 17",,,,,,,,,,,910.64,
"Accumulated Depreciation",,,,,,,,,,,-789.36,
,"General Journal","20-01-2025","26691",,"Floor Chair 17 depreciation","Accumulated Depreciation",,"Depreciation Expense","",20.24,-809.60,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,20.24,-809.60,
"Cost",,,,,,,,,,,1700.00,
"Total Cost",,,,,,,,,"","",1700.00,
"Floor Chair 17 - Other",,,,,,,,,,,0.00,
"Total Floor Chair 17 - Other",,,,,,,,,"","",0.00,
"Total Floor Chair 17",,,,,,,,,0.00,20.24,890.40,
"Office Desk 8",,,,,,,,,,,3250.15,
"Accumulated Depreciation",,,,,,,,,,,-3749.85,
"Total Accumulated Depreciation",,,,,,,,,"","",-3749.85,
"Cost",,,,,,,,,,,7000.00,
"Total Cost",,,,,,,,,"","",7000.00,
"Office Desk 8 - Other",,,,,,,,,,,0.00,
"Total Office Desk 8 - Other",,,,,,,,,"","",0.00,
"Total Office Desk 8",,,,,,,,,"","",3250.15,
"Store Racking 3 FG",,,,,,,,,,,264374.81,
"Accumulated Depreciation",,,,,,,,,,,-558125.19,
,"General Journal","13-01-2025","26590",,"Store Racking 3 FG Depreciation","Accumulated Depreciation",,"Depreciation Expense","",9791.67,-567916.86,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,9791.67,-567916.86,
"Cost",,,,,,,,,,,822500.00,
"Total Cost",,,,,,,,,"","",822500.00,
"Store Racking 3 FG - Other",,,,,,,,,,,0.00,
"Total Store Racking 3 FG - Other",,,,,,,,,"","",0.00,
"Total Store Racking 3 FG",,,,,,,,,0.00,9791.67,254583.14,
"Board room chair 1",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26711",,"Board room chair 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 1 - Other",,,,,,,,,,,0.00,
"Total Board room chair 1 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 1",,,,,,,,,0.00,59.52,595.52,
"Board room chair 2",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26712",,"Board room chair 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 2 - Other",,,,,,,,,,,0.00,
"Total Board room chair 2 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 2",,,,,,,,,0.00,59.52,595.52,
"Board room chair 3",,,,,,,,,,,297.92,
"Accumulated Depreciation",,,,,,,,,,,-4702.08,
,"General Journal","13-01-2025","26570",,"Board room chair 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4761.60,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4761.60,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 3 - Other",,,,,,,,,,,0.00,
"Total Board room chair 3 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 3",,,,,,,,,0.00,59.52,238.40,
"Board room chair 4",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26713",,"Board room chair 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 4 - Other",,,,,,,,,,,0.00,
"Total Board room chair 4 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 4",,,,,,,,,0.00,59.52,595.52,
"Board room chair 5",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26714",,"Board room chair 5 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 5 - Other",,,,,,,,,,,0.00,
"Total Board room chair 5 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 5",,,,,,,,,0.00,59.52,595.52,
"Board room chair 6",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26715",,"Board room chair 6 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 6 - Other",,,,,,,,,,,0.00,
"Total Board room chair 6 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 6",,,,,,,,,0.00,59.52,595.52,
"Board room chair 7",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26716",,"Board room chair 7 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 7 - Other",,,,,,,,,,,0.00,
"Total Board room chair 7 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 7",,,,,,,,,0.00,59.52,595.52,
"Board room chair 8",,,,,,,,,,,655.04,
"Accumulated Depreciation",,,,,,,,,,,-4344.96,
,"General Journal","21-01-2025","26717",,"Board room chair 8 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4404.48,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4404.48,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Board room chair 8 - Other",,,,,,,,,,,0.00,
"Total Board room chair 8 - Other",,,,,,,,,"","",0.00,
"Total Board room chair 8",,,,,,,,,0.00,59.52,595.52,
"Canteen Chair 1",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26612",,"Canteen Chair 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 1 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 1 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 1",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 10",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26613",,"Canteen Chair 10 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 10 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 10 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 10",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 11",,,,,,,,,,,-471.32,
"Accumulated Depreciation",,,,,,,,,,,-985.32,
,"General Journal","15-01-2025","26614",,"Canteen Chair 11 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-991.44,"Fixed Asset"
,"General Journal","15-01-2025","26615",,"Canteen Chair 11 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-997.56,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,12.24,-997.56,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 11 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 11 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 11",,,,,,,,,0.00,12.24,-483.56,
"Canteen Chair 12",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26616",,"Canteen Chair 12 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 12 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 12 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 12",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 13",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26617",,"Canteen Chair 13 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 13 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 13 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 13",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 14",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26618",,"Canteen Chair 14 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 14 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 14 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 14",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 15",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26619",,"Canteen Chair 15 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 15 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 15 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 15",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 16",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26620",,"Canteen Chair 16 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 16 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 16 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 16",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 17",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26621",,"Canteen Chair 17 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 17 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 17 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 17",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 18",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26622",,"Canteen Chair 18 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 18 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 18 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 18",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 19",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26623",,"Canteen Chair 19 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 19 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 19 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 19",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 2",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26624",,"Canteen Chair 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 2 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 2 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 2",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 20",,,,,,,,,,,-0.08,
"Accumulated Depreciation",,,,,,,,,,,-514.08,
"Total Accumulated Depreciation",,,,,,,,,"","",-514.08,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 20 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 20 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 20",,,,,,,,,"","",-0.08,
"Canteen Chair 21",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26625",,"Canteen Chair 21 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 21 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 21 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 21",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 22",,,,,,,,,,,24.40,
"Accumulated Depreciation",,,,,,,,,,,-489.60,
,"General Journal","15-01-2025","26626",,"Canteen Chair 22 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-495.72,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-495.72,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 22 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 22 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 22",,,,,,,,,0.00,6.12,18.28,
"Canteen Chair 23",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26627",,"Canteen Chair 23 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 23 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 23 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 23",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 24",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26628",,"Canteen Chair 24 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 24 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 24 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 24",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 25",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26629",,"Canteen Chair 25 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 25 - Other",,,,,,,,,,,0.00,
"Total Canteen Chair 25 - Other",,,,,,,,,"","",0.00,
"Total Canteen Chair 25",,,,,,,,,0.00,6.12,12.16,
"Canteen Chair 3",,,,,,,,,,,18.28,
"Accumulated Depreciation",,,,,,,,,,,-495.72,
,"General Journal","15-01-2025","26630",,"Canteen Chair 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",6.12,-501.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,6.12,-501.84,
"Cost",,,,,,,,,,,514.00,
"Total Cost",,,,,,,,,"","",514.00,
"Canteen Chair 3 - Other",,,,,,,,,,,0.00,
